approach,tolerance,ratio,asr,time
adaptive,0.00,0,1.0000,1m39.710731s
adaptive,0.00,10,0.8970,1m44.5909596s
adaptive,0.00,20,0.8250,1m53.1627277s
adaptive,0.00,30,0.6990,1m54.9362225s
adaptive,0.00,40,0.5840,1m57.1664246s
adaptive,0.00,50,0.5030,2m1.6532053s
adaptive,0.00,60,0.4150,2m5.2676226s
adaptive,0.00,70,0.3050,2m5.142788s
adaptive,0.00,80,0.1860,2m13.7235831s
adaptive,0.00,90,0.1170,2m15.3973617s
adaptive,0.10,0,1.0000,1m44.702915s
adaptive,0.10,10,0.9010,1m51.7192524s
adaptive,0.10,20,0.8020,1m58.7102765s
adaptive,0.10,30,0.6790,1m59.0133176s
adaptive,0.10,40,0.5990,2m5.4941261s
adaptive,0.10,50,0.5030,2m12.2901356s
adaptive,0.10,60,0.4130,2m15.0581134s
adaptive,0.10,70,0.3140,2m18.2380966s
adaptive,0.10,80,0.2080,2m17.7088183s
adaptive,0.10,90,0.1100,2m19.5987309s
adaptive,0.20,0,1.0000,1m44.2503746s
adaptive,0.20,10,0.8930,1m51.7913124s
adaptive,0.20,20,0.7890,1m58.8740811s
adaptive,0.20,30,0.6990,2m4.2723864s
adaptive,0.20,40,0.5930,2m8.139321s
adaptive,0.20,50,0.5020,2m11.3221261s
adaptive,0.20,60,0.4170,2m16.7683203s
adaptive,0.20,70,0.3050,2m16.6764013s
adaptive,0.20,80,0.1860,2m17.3231152s
adaptive,0.20,90,0.1090,2m19.7368919s
adaptive,0.30,0,1.0000,1m44.75774s
adaptive,0.30,10,0.8920,1m51.8648998s
adaptive,0.30,20,0.8110,2m0.1495147s
adaptive,0.30,30,0.6910,2m4.1492977s
adaptive,0.30,40,0.5900,2m7.06445s
adaptive,0.30,50,0.5180,2m13.2062596s
adaptive,0.30,60,0.3910,2m13.8673254s
adaptive,0.30,70,0.3050,2m27.3249675s
adaptive,0.30,80,0.1980,2m23.058201s
adaptive,0.30,90,0.0880,2m23.2194984s
adaptive,0.40,0,1.0000,1m48.8822693s
adaptive,0.40,10,0.8900,1m55.896611s
adaptive,0.40,20,0.7910,2m2.9031382s
adaptive,0.40,30,0.6650,2m5.8522931s
adaptive,0.40,40,0.5910,2m12.7940351s
adaptive,0.40,50,0.5100,2m22.7369296s
adaptive,0.40,60,0.4010,2m54.9710965s
adaptive,0.40,70,0.2930,3m12.7182098s
adaptive,0.40,80,0.1730,3m1.737439s
adaptive,0.40,90,0.1050,3m45.2139229s
adaptive,0.50,0,1.0000,2m18.3184584s
adaptive,0.50,10,0.9040,2m31.6192105s
adaptive,0.50,20,0.8040,2m40.2076577s
adaptive,0.50,30,0.6850,2m49.1979696s
adaptive,0.50,40,0.5770,2m57.9106002s
adaptive,0.50,50,0.5060,3m8.1908302s
adaptive,0.50,60,0.3990,2m47.5154366s
adaptive,0.50,70,0.3210,2m38.7943594s
adaptive,0.50,80,0.2000,2m37.8840558s
adaptive,0.50,90,0.1050,2m41.1179643s
adaptive,0.60,0,1.0000,1m55.106365s
adaptive,0.60,10,0.8850,2m8.2287013s
adaptive,0.60,20,0.7960,2m11.1966985s
adaptive,0.60,30,0.6980,2m20.9798627s
adaptive,0.60,40,0.5960,2m22.509474s
adaptive,0.60,50,0.5190,2m31.8630305s
adaptive,0.60,60,0.4130,2m37.0209511s
adaptive,0.60,70,0.2820,2m34.6367356s
adaptive,0.60,80,0.1870,2m36.0723826s
adaptive,0.60,90,0.1070,2m42.0000957s
adaptive,0.70,0,1.0000,1m54.6142229s
adaptive,0.70,10,0.8990,2m3.4382504s
adaptive,0.70,20,0.8040,2m11.5735308s
adaptive,0.70,30,0.7180,2m20.6178812s
adaptive,0.70,40,0.6030,2m23.318641s
adaptive,0.70,50,0.4650,2m17.8458834s
adaptive,0.70,60,0.4070,2m16.0709685s
adaptive,0.70,70,0.2920,2m27.2157257s
adaptive,0.70,80,0.2040,2m32.3986025s
adaptive,0.70,90,0.1030,2m34.2647017s
adaptive,0.80,0,1.0000,1m51.4182399s
adaptive,0.80,10,0.9130,2m1.4909059s
adaptive,0.80,20,0.7960,2m7.0786478s
adaptive,0.80,30,0.7030,2m13.4837587s
adaptive,0.80,40,0.5940,2m18.6059572s
adaptive,0.80,50,0.4960,2m22.2255143s
adaptive,0.80,60,0.3930,2m26.2193637s
adaptive,0.80,70,0.3030,2m29.649272s
adaptive,0.80,80,0.1990,2m31.5758874s
adaptive,0.80,90,0.0780,2m32.7394136s
adaptive,0.90,0,1.0000,1m51.484581s
adaptive,0.90,10,0.9040,2m0.3698926s
adaptive,0.90,20,0.8090,2m8.3542502s
adaptive,0.90,30,0.7100,2m14.1844009s
adaptive,0.90,40,0.5970,2m19.0021564s
adaptive,0.90,50,0.5210,2m25.3765449s
adaptive,0.90,60,0.3820,2m24.1494419s
adaptive,0.90,70,0.3150,2m29.6407837s
adaptive,0.90,80,0.1980,2m31.4854983s
adaptive,0.90,90,0.1050,2m35.0819304s
